boro_cd,shape_area,shape_leng,pct_recyc_2018,pct_recyc_2009,pct_change,crime_count,crime_per_1000,fp_100_mhhi,fp_100_rent_burden,mean_commute,neighborhoods,over65_rate,pct_foreign_born,poverty_rate,under18_rate,unemployment_cd,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,BOROUGH_ID,year,total_recycled,percent_recycled
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4924.7,565.7,502.5,58,3,2019,1068.2,0.216906614
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4492.6,479.8,393,,3,2016,872.8,0.19427503
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4832.6,676.4,540.9,,3,2017,1217.3,0.251893391
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5264.8,661.5,443.4,,3,2014,1104.9,0.209865522
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5278.8,661.3,423.1,,3,2013,1084.4,0.205425475
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4670.5,610.4,390.6,,3,2013,1001,0.214323948
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4801.4,694.5,414.5,,3,2010,1109,0.230974299
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4769.6,633.4,377,,3,2013,1010.4,0.211841664
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5335,698.4,429.5,,3,2010,1127.9,0.211415183
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4800.7,709.9,398.6,,3,2011,1108.5,0.230903827
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4659.4,624.1,377.5,,3,2011,1001.6,0.2149633
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4920.1,647.6,402,,3,2010,1049.6,0.213328997
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5060.5,702.1,432.1,,3,2009,1134.2,0.224128051
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5038.5,638.1,507.9,,3,2016,1146,0.227448645
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5258.9,621.2,516.5,88.8,3,2018,1137.7,0.216338017
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4894.6,617.9,512,179.9,3,2017,1129.9,0.230846239
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5165.3,637.2,474.4,,3,2015,1111.6,0.215205312
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,5271.5,608.4,552.5,58.2,3,2019,1160.9,0.220221948
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4743.8,627,550.1,100.7,3,2018,1177.1,0.248134407
311,103177785.3,51549.5579,0.228815795,0.237252812,-0.035561294,1128,5.908536,35000,0.527765237,46.8,"Bath Beach, Bensonhurst, Gravesend, Mapleton",15.3,55.8,22.5,20.9,4.4,Brooklyn,11,4998,652.3,385.9,,3,2012,1038.2,0.207723089
