year,boro_cd,total_recycled,total_refuse,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,fp_100_mhhi,pct_black_nh,pct_foreign_born,pct_hispanic,pct_white_nh,poverty_rate,unemployment_cd
2016-01-01,304,6282.599999999999,35468.5,17.713182119345333,12.658652587374903,39.92944349394312,5.054529531970431,,18.9,32.9,56.9,17.1,24.8,7.2
2017-01-01,304,6680.8,35874.399999999994,18.622750485025538,12.658652587374903,47.114792482723836,5.964097897650635,,18.9,32.9,56.9,17.1,24.8,7.2
2018-01-01,304,7211.799999999999,35856.200000000004,20.113118512279602,12.658652587374903,58.88830484485692,7.454465924904699,,18.9,32.9,56.9,17.1,24.8,7.2
2019-01-01,304,6508.2,31232.500000000004,20.837909229168332,12.658652587374903,64.61395938736013,8.17925664179343,,18.9,32.9,56.9,17.1,24.8,7.2
2009-01-01,305,7175.5,52988.2,13.541694188517445,13.541694188517445,0.0,0.0,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2010-01-01,305,6602.999999999999,51352.100000000006,12.858286223932417,13.541694188517445,-5.0466947124276125,-0.6834079645850277,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2011-01-01,305,6423.400000000001,54252.200000000004,11.839888520649854,13.541694188517445,-12.567154775291122,-1.7018056678675908,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2012-01-01,305,6056.900000000001,51620.3,11.733562183869523,13.541694188517445,-13.35233228188767,-1.8081320046479217,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2013-01-01,305,6315.9,51581.59999999999,12.24448252865363,13.541694188517445,-9.579389711545637,-1.2972116598638141,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2014-01-01,305,6500.2,52314.5,12.42523583327758,13.541694188517445,-8.244598790205703,-1.1164583552398657,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2015-01-01,305,6736.099999999999,52543.3,12.820093142227456,13.541694188517445,-5.328735357957381,-0.7216010462899884,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2016-01-01,305,7250.7,53719.0,13.497458999609076,13.541694188517445,-0.3266591926575746,-0.04423518890836853,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
2017-01-01,305,7449.4,54588.1,13.646563994716798,13.541694188517445,0.7744216103201973,0.10486980619935338,20000.0,52.1,35.6,37.1,3.8,28.7,5.1
