MONTH,BOROUGH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS,BOROUGH_ID,year,total_recycled,percent_recycled,borough_code
2018-01-01,Bronx,11,2813.2,314.0,325.0,65.7,,,47.3,2,2018,639.0,0.22714346651500072,211
2018-11-01,Bronx,11,3102.4,310.6,332.5,185.6,,20.0,,2,2018,643.1,0.20729112944816916,211
2017-10-01,Bronx,11,2888.6,272.0,290.4,128.0,,11.5,,2,2017,562.4,0.19469639271619468,211
2014-11-01,Bronx,11,2890.1,271.4,238.8,,,,,2,2014,510.2,0.17653368395557248,211
2014-07-01,Bronx,11,3310.6,309.9,284.2,,,,,2,2014,594.0999999999999,0.17945387543043556,211
2009-03-01,Bronx,11,2799.2,293.8,248.1,,,,,2,2009,541.9,0.1935910260074307,211
2014-06-01,Bronx,11,3120.4,304.1,276.9,,,,,2,2014,581.0,0.1861940776823484,211
2014-03-01,Bronx,11,2784.9,270.9,251.1,,,,,2,2014,522.0,0.18743940536464504,211
2009-12-01,Bronx,11,3235.2,391.1,275.2,,,,,2,2009,666.3,0.20595326409495548,211
2013-11-01,Bronx,11,2889.6,277.7,229.9,,,,,2,2013,507.6,0.17566445182724255,211
2009-09-01,Bronx,11,3090.1,321.3,267.0,,,,,2,2009,588.3,0.19038218827869646,211
2013-02-01,Bronx,11,2463.8,246.7,212.1,,,,,2,2013,458.79999999999995,0.1862164136699407,211
2015-02-01,Bronx,11,2234.5,230.5,246.4,,,,,2,2015,476.9,0.2134258223316178,211
2015-11-01,Bronx,11,3096.7,268.5,248.5,,,,,2,2015,517.0,0.16695191655633418,211
2018-07-01,Bronx,11,3181.5,302.5,333.8,103.7,,,,2,2018,636.3,0.19999999999999998,211
2015-07-01,Bronx,11,3271.9,295.2,298.8,,,,,2,2015,594.0,0.18154589076683272,211
2018-04-01,Bronx,11,2828.5,278.3,299.8,84.2,,,,2,2018,578.1,0.20438394908962348,211
2018-02-01,Bronx,11,2493.2,266.0,275.0,56.8,,,,2,2018,541.0,0.2169902133803947,211
2019-05-01,Bronx,11,3266.2,290.8,367.5,123.4,,,,2,2019,658.3,0.20154920090625192,211
2019-10-01,Bronx,11,3116.7,285.7,353.4,108.0,,,,2,2019,639.0999999999999,0.20505663041036992,211
2019-09-01,Bronx,11,2951.2,251.7,319.7,82.7,,,,2,2019,571.4,0.19361615613987532,211
2010-01-01,Queens,11,2532.4,559.5,340.8,,,,36.0,4,2010,900.3,0.3555125572579371,411
2014-06-01,Queens,11,3242.2,557.4,379.7,,,,,4,2014,937.0999999999999,0.2890321386712726,411
2011-01-01,Queens,11,2752.5,527.8,320.4,,,,,4,2011,848.1999999999999,0.3081562216167121,411
2011-03-01,Queens,11,2977.4,571.1,328.4,,,,,4,2011,899.5,0.30210922281184927,411
2010-09-01,Queens,11,3293.2,574.5,334.8,,,,,4,2010,909.3,0.27611441758775657,411
2013-05-01,Queens,11,3498.6,515.5,339.6,,,,,4,2013,855.1,0.24441205053449952,411
2012-05-01,Queens,11,3581.3,555.1,329.2,,,,,4,2012,884.3,0.2469215089492642,411
2015-12-01,Queens,11,3128.4,658.6,453.4,,,,,4,2015,1112.0,0.3554532668456719,411
2016-02-01,Queens,11,2386.1,507.8,409.6,,,,,4,2016,917.4000000000001,0.38447676124219443,411
2015-09-01,Queens,11,3117.6,523.9,395.4,,,,,4,2015,919.3,0.2948742622530151,411
2015-01-01,Queens,8,3137.5,391.6,280.9,,,,21.6,4,2015,672.5,0.21434262948207172,408
2017-12-01,Queens,8,3192.0,500.4,388.1,204.2,,51.6,,4,2017,888.5,0.2783521303258145,408
2015-03-01,Queens,8,3438.0,488.8,337.2,,,,,4,2015,826.0,0.24025596276905178,408
2010-03-01,Queens,8,3734.3,573.7,353.9,,,,,4,2010,927.6,0.2483999678654634,408
2011-11-01,Queens,8,3898.0,485.1,297.7,,,,,4,2011,782.8,0.2008209338122114,408
2011-10-01,Queens,8,3657.8,503.8,319.6,,,,,4,2011,823.4000000000001,0.2251079884083329,408
2012-04-01,Queens,8,3390.5,440.7,306.3,,,,,4,2012,747.0,0.22032148650641498,408
2017-08-01,Queens,8,3805.1,461.0,412.8,,,,,4,2017,873.8,0.2296391684844025,408
2017-09-01,Queens,8,3650.6,456.4,403.3,,,,,4,2017,859.7,0.23549553498055117,408
2015-02-01,Brooklyn,10,2655.1,537.4,388.7,35.4,,,,3,2015,926.0999999999999,0.34880042182968624,310
2009-07-01,Brooklyn,10,3541.5,566.7,359.3,,,,,3,2009,926.0,0.26147112805308487,310
2014-10-01,Brooklyn,10,3331.4,555.4,364.9,90.0,,,,3,2014,920.3,0.27625022513057573,310
2010-12-01,Brooklyn,10,2579.1,530.0,289.6,,,,,3,2010,819.6,0.3177852739327673,310
2011-01-01,Brooklyn,10,3313.9,552.2,350.3,,,,,3,2011,902.5,0.2723377289598358,310
2012-12-01,Brooklyn,10,3328.4,617.6,328.8,,,,,3,2012,946.4000000000001,0.2843408244201418,310
2013-06-01,Brooklyn,10,3408.5,549.1,354.9,,,,,3,2013,904.0,0.2652193046794778,310
2015-11-01,Brooklyn,10,3181.6,510.4,369.2,201.4,68.1,,,3,2015,879.5999999999999,0.27646467186321344,310
2010-08-01,Brooklyn,10,3386.1,532.1,337.5,,,,,3,2010,869.6,0.25681462449425596,310
2013-02-01,Brooklyn,10,2774.1,497.2,280.6,,,,,3,2013,777.8,0.28037922209004723,310
2013-11-01,Brooklyn,10,3328.5,516.5,329.3,,,,,3,2013,845.8,0.2541084572630314,310
2017-06-01,Brooklyn,10,3497.9,556.3,460.4,155.1,,,,3,2017,1016.6999999999999,0.2906601103519254,310
2017-08-01,Brooklyn,10,3165.5,521.0,431.9,130.7,,,,3,2017,952.9,0.3010266940451745,310
2015-08-01,Brooklyn,10,3113.4,496.6,373.9,118.1,,,,3,2015,870.5,0.2795978672833558,310
2019-06-01,Brooklyn,10,3345.9,517.6,468.1,113.7,80.4,,,3,2019,985.7,0.2945993604112496,310
2019-09-01,Brooklyn,10,3160.6,457.1,424.1,81.6,,,,3,2019,881.2,0.27880782129975323,310
2013-01-01,Brooklyn,17,3891.4,339.6,350.5,,,,8.4,3,2013,690.1,0.17733977488821503,317
2015-01-01,Brooklyn,17,3668.9,259.5,307.2,,,,8.4,3,2015,566.7,0.1544604649895064,317
2009-06-01,Brooklyn,17,5021.6,367.3,403.9,,,,,3,2009,771.2,0.1535765493069938,317
2014-10-01,Brooklyn,17,4211.7,312.6,337.8,,,,,3,2014,650.4000000000001,0.15442695348671562,317
2011-02-01,Brooklyn,17,4121.8,328.6,345.5,,,,,3,2011,674.1,0.16354505313212675,317
2012-12-01,Brooklyn,17,4366.9,379.8,310.5,,,,,3,2012,690.3,0.1580755226819941,317
2012-11-01,Brooklyn,17,4541.1,322.0,335.7,,,,,3,2012,657.7,0.14483274977428376,317
2013-11-01,Brooklyn,17,4101.3,299.4,300.6,,,,,3,2013,600.0,0.1462950771706532,317
2012-06-01,Brooklyn,17,4569.2,341.4,352.7,,,,,3,2012,694.0999999999999,0.1519084303598004,317
2014-12-01,Brooklyn,17,4674.7,398.4,400.3,,,,,3,2014,798.7,0.17085588380002997,317
2016-07-01,Brooklyn,17,4711.0,322.1,428.2,,,,,3,2016,750.3,0.1592655487157716,317
2014-09-01,Brooklyn,17,4385.8,306.4,348.8,,,,,3,2014,655.2,0.14939121710976333,317
2015-07-01,Brooklyn,17,4757.4,324.8,417.9,,,,,3,2015,742.7,0.15611468449152902,317
2018-05-01,Brooklyn,17,4734.9,309.4,426.8,,,,,3,2018,736.2,0.1554837483368181,317
2019-11-01,Brooklyn,17,992.2,54.0,81.2,,,,,3,2019,135.2,0.1362628502318081,317
2019-05-01,Brooklyn,17,4697.0,305.5,455.9,,,,,3,2019,761.4,0.1621034703001916,317
2019-03-01,Brooklyn,17,3872.5,282.6,395.0,,,,,3,2019,677.6,0.17497740477727566,317
2010-01-01,Queens,6,2569.1,436.8,297.1,,,,13.6,4,2010,733.9000000000001,0.2856642403954693,406
2016-01-01,Queens,6,2484.1,390.1,304.5,,,,27.2,4,2016,694.6,0.2796183728513345,406
