year,boro_cd,total_recycled,total_refuse,total_waste,pct_recycled_annum,pct_recycled_2009,pct_change,pct_point_change,poverty_rate
2018-01-01,314,10331.699999999999,57469.00000000001,67800.70000000001,15.238338247245231,13.880581410587729,9.78170003471066,1.3577568366575026,21.5
2019-01-01,314,8753.7,48020.299999999996,56774.0,15.41850142670941,13.880581410587729,11.07965128138364,1.5379200161216815,21.5
2009-01-01,315,13215.099999999999,52977.59999999999,66192.69999999998,19.964588240092944,19.964588240092944,0.0,0.0,18.6
2010-01-01,315,12429.5,51905.999999999985,64335.499999999985,19.319815653876944,19.964588240092944,-3.2295811887628423,-0.6447725862159999,18.6
2011-01-01,315,12611.100000000002,54034.700000000004,66645.8,18.922572765275532,19.964588240092944,-5.219318637009662,-1.0420154748174113,18.6
2012-01-01,315,11822.6,56589.4,68412.0,17.28147108694381,19.964588240092944,-13.439381373069793,-2.6831171531491336,18.6
2013-01-01,315,11776.900000000001,54856.6,66633.5,17.674142886085832,19.964588240092944,-11.472539911479029,-2.2904453540071117,18.6
2014-01-01,315,11968.0,52879.9,64847.9,18.45549354720816,19.964588240092944,-7.55885708603905,-1.5090946928847835,18.6
2015-01-01,315,12142.1,52783.40000000001,64925.50000000001,18.701588744021993,19.964588240092944,-6.326198571601848,-1.2629994960709503,18.6
2016-01-01,315,12485.1,53371.3,65856.40000000001,18.958066338275398,19.964588240092944,-5.041535992193646,-1.0065219018175462,18.6
2017-01-01,315,12644.7,52725.5,65370.2,19.343217551728465,19.964588240092944,-3.1123641564349436,-0.621370688364479,18.6
2018-01-01,315,12988.7,52853.09999999999,65841.79999999999,19.72713382683949,19.964588240092944,-1.1893779646133473,-0.2374544132534524,18.6
2019-01-01,315,10775.1,45502.5,56277.6,19.146338863064525,19.964588240092944,-4.098503646497498,-0.8182493770284189,18.6
2009-01-01,316,2562.7999999999997,23918.499999999996,26481.299999999996,9.67777261690325,9.67777261690325,0.0,0.0,29.4
2010-01-01,316,2450.4999999999995,22994.9,25445.4,9.6304243596092,9.67777261690325,-0.4892474660062818,-0.04734825729404868,29.4
2011-01-01,316,2485.2000000000003,24036.899999999994,26522.099999999995,9.370298732000862,9.67777261690325,-3.177114167420636,-0.3074738849023877,29.4
2012-01-01,316,2360.7999999999997,23211.300000000003,25572.100000000002,9.231936368151224,9.67777261690325,-4.606806404743635,-0.4458362487520251,29.4
2013-01-01,316,2398.0,22698.699999999997,25096.699999999997,9.555041101021251,9.67777261690325,-1.2681793708155031,-0.12273151588199838,29.4
2014-01-01,316,2543.4,23223.8,25767.2,9.870688316930051,9.67777261690325,1.9933894674261543,0.19291570002680203,29.4
2015-01-01,316,2616.5,23215.100000000002,25831.600000000002,10.129066724476997,9.67777261690325,4.6632022205762125,0.451294107573748,29.4
2016-01-01,316,2881.5,23921.100000000002,26802.600000000002,10.750822681381656,9.67777261690325,11.087779254125184,1.073050064478407,29.4
