Address,BBL,BIN,CouncilDist,DropOff_SiteName,Latitude,Longitude,NTAName,Number,ObjectId,Street,Zipcode,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
529 5 AVE,1012780000,1035365,4,BEST BUY - 44TH AND 5TH NY�(STORE 1028),40.75444,-73.97969,Midtown-Midtown South,529,12,5 AVE,10017,105,94,POINT (-73.9796913 40.754435099999995),10360,11,4,51,8
3402 STEINWAY ST,4006720000,4010902,26,SALVATION ARMY THRIFT STORE,40.75661,-73.92123,Astoria,3402,75,STEINWAY ST,11101,401,157,POINT (-73.9212251 40.75661449999999),16858,39,3,33,72
574 2 AVE,1009360000,1087237,2,STAPLES,40.74308,-73.97657,Murray Hill-Kips Bay,574,23,2 AVE,10016,106,70,POINT (-73.9765721 40.7430749),12078,71,4,50,9
4320 BROADWAY,1021670000,1081882,10,STAPLES,40.85225,-73.93426,Washington Heights North,4320,38,BROADWAY,10033,112,271,POINT (-73.934254 40.852244000000006),13091,47,4,39,22
330-340 BAYCHESTER AVE,2051410000,2102454,12,STAPLES,40.8677,-73.82867,Co-op City,330-340,47,BAYCHESTER AVE,10475,210,46201,POINT (-73.8286649 40.86770189999999),12344,43,5,2,28
10716 71 AVE,4032560000,4454211,29,STAPLES,40.72044,-73.84417,Forest Hills,10716,86,71 AVE,11375,406,737,POINT (-73.844168 40.72044299999999),14786,40,3,28,70
3911 61 ST,4012310000,4028367,26,SALVATION ARMY THRIFT STORE,40.74674,-73.90269,Woodside,3911,79,61 ST,11377,402,261,POINT (-73.9026954 40.746742999999995),14787,53,3,33,66
217 W 79 ST,1012270000,1032650,6,GOODWILL THRIFT SHOP - 79TH ST STORE,40.78376,-73.979,Upper West Side,217,27,W 79 ST,10024,107,167,POINT (-73.979007 40.78375499999999),12421,20,4,19,12
369 GATEWAY DR,3044520000,3348828,42,BEST BUY - GATEWAY BROOKLYN NY�(STORE 1886),40.65134,-73.87317,East New York,369,58,GATEWAY DR,11239,305,1070,POINT (-73.873167 40.65134399999999),13830,45,2,25,47
8923 BAY PKWY,3064910000,3345607,43,BEST BUY - BROOKLYN NY�(STORE 599),40.59365,-73.99899,Bensonhurst West,8923,64,BAY PKWY,11214,311,294,POINT (-73.9989895 40.5936458),17616,1,2,44,37
9130 VAN WYCK EXPY,4093750000,4196964,29,STAPLES,40.69894,-73.81506,Richmond Hill,9130,90,VAN WYCK EXPY,11418,409,14202,POINT (-73.8150529 40.6989379),24014,46,3,28,60
402 E FORDHAM RD,2030338000,2116415,15,BEST BUY - FORDHAM RD NY�(STORE 1891),40.86089,-73.89132,Fordham South,402,43,E FORDHAM RD,10458,206,38302,POINT (-73.8913166 40.86089119999999),10936,35,5,22,31
